,$SPX,Cummulative_Value
2008-11-25,857.39,10932.0
2008-11-26,887.68,11028.0
2008-11-28,896.24,11021.0
2008-12-01,816.21,10582.0
2008-12-02,848.81,10857.0
2008-12-03,870.74,10934.0
2008-12-04,845.22,10934.0
2008-12-05,876.07,10934.0
2008-12-08,909.7,10934.0
2008-12-09,888.67,10934.0
2008-12-10,899.24,10934.0
2008-12-11,873.59,10934.0
2008-12-12,879.73,10934.0
2008-12-15,868.57,10934.0
2008-12-16,913.18,10934.0
2008-12-17,904.42,10934.0
2008-12-18,885.28,10934.0
2008-12-19,887.88,10934.0
2008-12-22,871.63,10934.0
2008-12-23,863.16,10934.0
2008-12-24,865.46,10934.0
2008-12-26,872.8,10934.0
2008-12-29,869.42,10934.0
2008-12-30,890.64,10934.0
2008-12-31,903.25,10934.0
2009-01-02,931.8,10934.0
2009-01-05,927.45,10934.0
2009-01-06,934.7,10934.0
2009-01-07,906.65,10934.0
2009-01-08,909.73,10991.0
2009-01-09,890.35,11222.0
2009-01-12,870.26,11128.0
2009-01-13,871.79,11163.0
2009-01-14,842.62,11363.0
2009-01-15,843.74,11363.0
2009-01-16,850.12,11363.0
2009-01-20,805.22,11363.0
2009-01-21,840.24,11363.0
2009-01-22,827.5,11363.0
2009-01-23,831.95,11417.0
2009-01-26,836.57,11220.0
2009-01-27,845.71,11214.0
2009-01-28,874.09,10919.0
2009-01-29,845.14,11135.0
2009-01-30,825.88,11215.0
2009-02-02,825.44,11282.0
2009-02-03,838.51,11044.0
2009-02-04,832.23,11105.0
2009-02-05,845.85,11144.0
2009-02-06,868.6,10746.0
2009-02-09,869.89,10683.0
2009-02-10,827.16,11016.0
2009-02-11,833.74,10839.0
2009-02-12,835.19,10847.0
2009-02-13,826.84,10963.0
2009-02-17,789.17,11260.0
2009-02-18,788.42,11260.0
2009-02-19,778.94,11260.0
2009-02-20,770.05,11260.0
2009-02-23,743.33,11260.0
2009-02-24,773.14,11260.0
2009-02-25,764.9,11213.0
2009-02-26,752.83,11502.0
2009-02-27,735.09,11789.0
2009-03-02,700.82,11789.0
2009-03-03,696.33,11789.0
2009-03-04,712.87,11789.0
2009-03-05,682.55,11789.0
2009-03-06,683.38,11789.0
2009-03-09,676.53,11789.0
2009-03-10,719.6,11789.0
2009-03-11,721.36,11789.0
2009-03-12,750.74,11789.0
2009-03-13,756.55,11789.0
2009-03-16,753.89,11789.0
2009-03-17,778.12,11789.0
2009-03-18,794.35,11789.0
2009-03-19,784.04,11789.0
2009-03-20,768.54,11789.0
2009-03-23,822.92,11789.0
2009-03-24,806.12,11789.0
2009-03-25,813.88,11789.0
2009-03-26,832.86,11711.0
2009-03-27,815.94,12146.0
2009-03-30,787.53,12112.0
2009-03-31,797.87,11889.0
2009-04-01,811.08,11821.0
2009-04-02,834.38,11520.0
2009-04-03,842.5,11388.0
2009-04-06,835.48,11450.0
2009-04-07,815.55,11714.0
2009-04-08,825.16,11485.0
2009-04-09,856.56,11437.0
2009-04-13,858.73,11602.0
2009-04-14,841.5,11665.0
2009-04-15,852.06,11705.0
2009-04-16,865.3,11462.0
2009-04-17,869.6,11478.0
2009-04-20,832.39,11556.0
2009-04-21,850.08,11380.0
2009-04-22,843.55,11357.0
2009-04-23,851.92,11463.0
2009-04-24,866.23,11589.0
2009-04-27,857.51,11602.0
2009-04-28,855.16,11602.0
2009-04-29,873.64,11602.0
2009-04-30,872.81,11602.0
2009-05-01,877.52,11471.0
2009-05-04,907.24,11322.0
2009-05-05,903.8,11354.0
2009-05-06,919.53,11418.0
2009-05-07,907.39,11610.0
2009-05-08,929.23,11714.0
2009-05-11,909.24,11714.0
2009-05-12,908.35,11714.0
2009-05-13,883.92,11714.0
2009-05-14,893.07,11714.0
2009-05-15,882.88,11714.0
2009-05-18,909.71,11714.0
2009-05-19,908.13,11714.0
2009-05-20,903.47,11714.0
2009-05-21,888.33,11714.0
2009-05-22,887.0,11714.0
2009-05-26,910.33,11714.0
2009-05-27,893.06,11714.0
2009-05-28,906.83,11714.0
2009-05-29,919.14,11714.0
2009-06-01,942.87,11714.0
2009-06-02,944.74,11714.0
2009-06-03,931.76,11746.0
2009-06-04,942.46,11761.0
2009-06-05,940.09,11675.0
2009-06-08,939.14,11651.0
2009-06-09,942.43,11590.0
2009-06-10,939.15,11570.0
2009-06-11,944.89,11471.0
2009-06-12,946.21,11583.0
2009-06-15,923.72,11639.0
2009-06-16,911.97,11667.0
2009-06-17,910.71,11698.0
2009-06-18,918.37,11761.0
2009-06-19,921.23,11761.0
2009-06-22,893.04,11761.0
2009-06-23,895.1,11761.0
2009-06-24,900.94,11761.0
2009-06-25,920.26,11761.0
2009-06-26,918.9,11761.0
2009-06-29,927.23,11761.0
2009-06-30,919.32,11761.0
2009-07-01,923.33,11761.0
2009-07-02,896.42,11761.0
2009-07-06,898.72,11761.0
2009-07-07,881.03,11761.0
2009-07-08,879.56,11761.0
2009-07-09,882.68,11894.0
2009-07-10,879.13,11776.0
2009-07-13,901.05,12039.0
2009-07-14,905.84,12004.0
2009-07-15,932.68,12379.0
2009-07-16,940.74,12379.0
2009-07-17,940.38,12379.0
2009-07-20,951.13,12379.0
2009-07-21,954.58,12379.0
2009-07-22,954.07,12379.0
2009-07-23,976.29,12239.0
2009-07-24,979.26,12184.0
2009-07-27,982.18,12185.0
2009-07-28,979.62,12218.0
2009-07-29,975.15,12220.0
2009-07-30,986.75,12163.0
2009-07-31,987.48,12156.0
2009-08-03,1002.63,11968.0
2009-08-04,1005.65,11999.0
2009-08-05,1002.72,12105.0
2009-08-06,997.08,12157.0
2009-08-07,1010.48,11972.0
2009-08-10,1007.1,12031.0
2009-08-11,994.35,12118.0
2009-08-12,1005.81,11975.0
2009-08-13,1012.73,11948.0
2009-08-14,1004.09,12044.0
2009-08-17,979.73,12206.0
2009-08-18,989.67,12206.0
2009-08-19,996.46,12206.0
2009-08-20,1007.37,12206.0
2009-08-21,1026.13,12206.0
2009-08-24,1025.57,12206.0
2009-08-25,1028.0,12206.0
2009-08-26,1028.12,12206.0
2009-08-27,1030.98,12206.0
2009-08-28,1028.93,12206.0
2009-08-31,1020.62,12206.0
2009-09-01,998.04,12206.0
2009-09-02,994.75,12206.0
2009-09-03,1003.24,12206.0
2009-09-04,1016.4,12313.0
2009-09-08,1025.39,12284.0
2009-09-09,1033.37,12247.0
2009-09-10,1044.14,12333.0
