,Volume of SPY,SPY,Volume of IBM,IBM,Symbol,Order,rolling_mean,rolling_std,upper_band,lower_band,rolling_volume,rolling_std_volume,long execute,long exit,short execute,short exit,shares,Shares,Cash,Trades,Cummulative_Value
2008-02-05,286882500.0,122.3,9048900,96.45,IBM,None,95.0636,3.06497808584,102.726045215,87.4011547854,11494400.0,4587824.83433,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-06,250792900.0,121.32,8265700,95.5,IBM,None,94.9128,2.93957411881,102.261735297,87.563864703,11435965.0,4622753.83981,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-07,297368100.0,122.12,11255800,94.34,IBM,None,94.8408,2.93029281813,102.166532045,87.5150679547,11452650.0,4621403.53829,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-08,221643500.0,121.34,6085600,95.2,IBM,None,94.7952,2.91482006306,102.082250158,87.5081498424,11225195.0,4773234.0938,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-11,188576300.0,121.96,6098300,96.92,IBM,None,94.9572,2.9159082633,102.246970658,87.6674293417,11082115.0,4886261.96459,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-12,256654400.0,123.09,7650200,98.21,IBM,None,95.2104,2.91239660761,102.491391519,87.929408481,10564155.0,4656973.69323,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-13,181967800.0,124.35,6608200,99.95,IBM,None,95.6236,2.81744695306,102.667217383,88.5799826173,10313090.0,4731276.79951,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-14,215108500.0,123.25,7340600,97.84,IBM,None,95.926,2.61871787968,102.472794699,89.3792053008,10046035.0,4741272.5303,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-15,154110300.0,123.22,6235600,97.87,IBM,None,96.1704,2.49595252359,102.410281309,89.930518691,9761115.0,4792785.44352,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-19,145190000.0,123.57,7376400,96.8,IBM,None,96.4544,2.10187035756,101.709075894,91.1997241061,8936350.0,3474861.33256,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-20,220085700.0,123.94,7671000,99.42,IBM,None,96.65,2.14246353528,102.006158838,91.2938411618,8563425.0,3161304.7516,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-21,201051200.0,122.91,8328000,98.57,IBM,None,96.852,2.07196565287,102.031914132,91.6720858678,8000420.0,1807230.80389,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-22,205491000.0,123.66,7917200,99.63,IBM,None,97.104,2.00788238367,102.123705959,92.0842940408,7744995.0,1366983.39168,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-25,190107000.0,125.22,8158000,101.48,IBM,None,97.4492,1.98779593185,102.41868983,92.4797101704,7651625.0,1262832.97428,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-26,212420700.0,126.16,18651500,105.44,IBM,None,97.8684,2.48407876955,104.078596924,91.6582030761,8191275.0,2766626.3476,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-27,168395800.0,126.03,11854900,107.36,IBM,None,98.4444,2.92830451513,105.765161288,91.1236387122,8453210.0,2856196.3444,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-28,170831100.0,124.8,7227200,106.24,IBM,SELL,98.7964,3.30696346114,107.063808653,90.5289913471,8443015.0,2860397.52947,0,0,1,0,-100,100,20624.0,-10624.0,10000.0
2008-02-29,252715200.0,122.02,8475100,104.96,IBM,None,99.0676,3.52512089627,107.880402241,90.2547977593,8414040.0,2856809.12105,0,0,0,0,-100,100,20624.0,0.0,10128.0
2008-03-03,189483500.0,121.73,6335700,105.3,IBM,None,99.44,3.675026077,108.627565193,90.2524348075,8328470.0,2893770.22714,0,0,0,0,-100,100,20624.0,0.0,10094.0
2008-03-04,282513100.0,121.26,8593300,106.67,IBM,None,99.8504,3.88919923206,109.57339808,90.1274019198,8458860.0,2840911.75031,0,0,0,0,-100,100,20624.0,0.0,9957.0
2008-03-05,270681400.0,122.03,8434200,106.37,IBM,None,100.2076,4.06471737435,110.369393436,90.0458065641,8428125.0,2837515.40684,0,0,0,0,-100,100,20624.0,0.0,9987.0
2008-03-06,247911700.0,119.5,8018400,103.73,IBM,None,100.476,4.06700032784,110.64350082,90.3084991804,8415760.0,2838798.9939,0,0,0,0,-100,100,20624.0,0.0,10251.0
2008-03-07,326434600.0,118.27,8124900,105.04,IBM,None,100.7432,4.14095170221,111.095579256,90.3908207445,8259215.0,2759151.85696,0,0,0,0,-100,100,20624.0,0.0,10120.0
2008-03-10,235683300.0,116.71,9747300,105.1,IBM,None,100.9404,4.22897000856,111.512825021,90.3679749786,8442300.0,2728647.75532,0,0,0,0,-100,100,20624.0,0.0,10114.0
2008-03-11,341440600.0,120.91,10480600,107.39,IBM,None,101.2712,4.4006072687,112.272718172,90.2696818283,8661415.0,2706376.05923,0,0,0,0,-100,100,20624.0,0.0,9885.0
2008-03-12,229161100.0,119.78,9083200,107.92,IBM,None,101.73,4.4743174526,112.915793632,90.5442063685,8733065.0,2697148.86955,0,0,0,0,-100,100,20624.0,0.0,9832.0
2008-03-13,351504200.0,120.04,9548900,106.85,IBM,None,102.184,4.39088544601,113.161213615,91.206786385,8880100.0,2655042.65126,0,0,0,0,-100,100,20624.0,0.0,9939.0
2008-03-14,484687800.0,118.18,9734600,106.23,IBM,None,102.6596,4.14278436964,113.016560924,92.3026390759,8999800.0,2635879.22333,0,0,0,0,-100,100,20624.0,0.0,10001.0
2008-03-17,405311100.0,116.99,9280300,106.52,IBM,None,103.1124,3.9053129196,112.875682299,93.349117701,9152035.0,2554497.53042,0,0,0,0,-100,100,20624.0,0.0,9972.0
2008-03-18,334416600.0,121.85,9966500,109.16,IBM,None,103.602,3.86366729934,113.261168248,93.9428317516,9281540.0,2525227.84494,0,0,0,0,-100,100,20624.0,0.0,9708.0
2008-03-19,345971600.0,118.83,9314400,107.8,IBM,None,103.9856,3.78120910997,113.438622775,94.5325772251,9363710.0,2496639.21701,0,0,0,0,-100,100,20624.0,0.0,9844.0
2008-03-20,245320700.0,121.03,11417900,109.08,IBM,None,104.3508,3.81594016375,113.890650409,94.8109495906,9518205.0,2524621.57112,0,0,0,0,-100,100,20624.0,0.0,9716.0
2008-03-24,208977300.0,123.45,8398000,109.76,IBM,None,104.8276,3.71180019218,114.10710048,95.5480995196,9542245.0,2510825.52234,0,0,0,0,-100,100,20624.0,0.0,9648.0
2008-03-25,192947200.0,123.57,8443600,108.75,IBM,None,105.2628,3.49345282875,113.996432072,96.5291679281,9556525.0,2503339.44875,0,0,0,0,-100,100,20624.0,0.0,9749.0
2008-03-26,196934300.0,122.06,9617100,107.78,IBM,None,105.702,3.04682895264,113.319072382,98.0849276184,9104805.0,1303265.92652,0,0,0,0,-100,100,20624.0,0.0,9846.0
2008-03-27,225153200.0,121.67,8437200,106.49,IBM,None,105.9848,2.75343742741,112.868393569,99.1012064315,8933920.0,1137175.16338,0,0,0,0,-100,100,20624.0,0.0,9975.0
2008-03-28,180896100.0,120.51,6600900,105.62,IBM,BUY,106.2668,2.28327016944,111.974975424,100.558624576,8902605.0,1193858.32426,0,0,0,1,0,100,10062.0,10562.0,10062.0
2008-03-31,166692100.0,120.93,9707200,106.14,IBM,None,106.5272,1.81880803458,111.074220086,101.980179914,8964210.0,1202395.97073,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-01,254547300.0,125.18,11875400,107.39,IBM,None,106.7636,1.48977873077,110.488046827,103.039153173,9241195.0,1203086.24903,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-02,210910800.0,125.26,8007600,105.84,IBM,None,106.7796,1.47706488235,110.472262206,103.086937794,9211910.0,1226585.9851,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-03,175884800.0,125.58,7052900,106.95,IBM,None,106.7632,1.47262158525,110.444753963,103.081646037,9142845.0,1308813.08724,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-04,204446800.0,125.44,5733200,106.71,IBM,None,106.782,1.4686586851,110.453646713,103.110353287,9028585.0,1498192.55606,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-07,154245500.0,125.5,6181200,107.22,IBM,None,106.8724,1.42060515274,110.423912882,103.320887118,8931400.0,1618138.86009,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-08,148937300.0,125.37,7283300,107.19,IBM,None,106.948,1.3832389526,110.406097382,103.489902618,8808200.0,1646304.79432,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-09,195610600.0,124.47,6819100,107.65,IBM,None,106.9872,1.38890700433,110.459467511,103.514932489,8625125.0,1654107.13676,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-10,192967800.0,124.64,9149300,109.5,IBM,None,107.1124,1.46967762905,110.786594073,103.438205927,8628430.0,1655136.28381,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-11,222973300.0,122.22,9556800,106.94,IBM,None,107.2408,1.29124913682,110.468922842,104.012677158,8628825.0,1655368.44297,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-14,160522000.0,121.81,7745600,108.12,IBM,None,107.364,1.21733657356,110.407341434,104.320658566,8529375.0,1645155.42311,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-15,172389200.0,122.09,8642000,108.01,IBM,None,107.4804,1.1276578973,110.299544743,104.661255257,8497460.0,1635986.99725,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-16,189268900.0,125.4,19317700,111.06,IBM,None,107.6272,1.33518575487,110.965164387,104.289235613,8965020.0,2914572.13355,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-17,179665700.0,125.58,18999100,113.46,IBM,None,107.8488,1.77357294747,112.282732369,103.414867631,9449255.0,3679751.90861,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-18,218530600.0,126.89,12490800,114.68,IBM,None,108.162,2.22400539568,113.722013489,102.601986511,9502900.0,3717588.24763,0,0,0,0,0,100,10062.0,0.0,10062.0
2008-04-21,118587400.0,126.96,6952800,114.63,IBM,SELL,108.498,2.53302191068,114.830554777,102.165445223,9430640.0,3754061.38699,0,0,1,0,-100,100,21525.0,-11463.0,10062.0
2008-04-22,162166100.0,126.4,5417500,114.01,IBM,None,108.7976,2.72499584098,115.610089602,101.985110398,9279335.0,3855547.89393,0,0,0,0,-100,100,21525.0,0.0,10124.0
2008-04-23,193309000.0,126.2,7593300,113.94,IBM,None,108.9888,2.91271253874,116.270581347,101.707018653,9178145.0,3872735.88993,0,0,0,0,-100,100,21525.0,0.0,10131.0
2008-04-24,229381300.0,126.75,5996700,114.49,IBM,None,109.2564,3.10022294897,117.006957372,101.505842628,9056120.0,3935254.77656,0,0,0,0,-100,100,21525.0,0.0,10076.0
2008-04-25,190788100.0,127.92,6313400,113.46,IBM,None,109.4316,3.21159965334,117.460599133,101.402600867,9041745.0,3945207.93868,0,0,0,0,-100,100,21525.0,0.0,10179.0
2008-04-28,105610200.0,127.95,5605200,112.18,IBM,None,109.5284,3.25804476131,117.673511903,101.383288097,8836645.0,4014803.78291,0,0,0,0,-100,100,21525.0,0.0,10307.0
2008-04-29,125514100.0,127.44,7226000,113.25,IBM,None,109.7084,3.33660840775,118.049921019,101.366878981,8604175.0,3963873.9573,0,0,0,0,-100,100,21525.0,0.0,10200.0
2008-04-30,208395900.0,126.69,8128300,111.27,IBM,None,109.848,3.32555509151,118.161887729,101.534112271,8610210.0,3963009.65574,0,0,0,0,-100,100,21525.0,0.0,10398.0
2008-05-01,187279500.0,129.31,8230200,113.95,IBM,None,110.1464,3.34631498816,118.51218747,101.78061253,8669075.0,3947373.25384,0,0,0,0,-100,100,21525.0,0.0,10130.0
2008-05-02,181585500.0,129.67,6916600,113.56,IBM,None,110.464,3.27484350771,118.651108769,102.276891231,8728245.0,3909739.13068,0,0,0,0,-100,100,21525.0,0.0,10169.0
2008-05-05,118504500.0,129.05,6359300,112.5,IBM,None,110.7184,3.17030976405,118.64417441,102.79262559,8737150.0,3903830.89535,0,0,0,0,-100,100,21525.0,0.0,10275.0
2008-05-06,179339800.0,130.17,5910400,113.22,IBM,None,110.9516,3.12943642424,118.775191061,103.128008939,8668505.0,3942618.75668,0,0,0,0,-100,100,21525.0,0.0,10203.0
2008-05-07,199267300.0,127.85,11406800,114.91,IBM,None,111.3144,3.03651949881,118.905698747,103.723101253,8897890.0,3962762.33824,0,0,0,0,-100,100,21525.0,0.0,10034.0
2008-05-08,178321200.0,127.52,9794000,115.63,IBM,None,111.6616,3.01284428185,119.193710705,104.129489295,8930125.0,3967534.33891,0,0,0,0,-100,100,21525.0,0.0,9962.0
2008-05-09,152588200.0,127.28,5502900,114.83,IBM,None,111.9864,2.89206223999,119.2165556,104.7562444,8727430.0,4036782.78793,0,0,0,0,-100,100,21525.0,0.0,10042.0
2008-05-12,147865900.0,128.71,8666800,115.93,IBM,None,112.3348,2.81761885286,119.378847132,105.290752868,8773490.0,4030240.59382,0,0,0,0,-100,100,21525.0,0.0,9932.0
2008-05-13,159132200.0,128.73,9693400,117.17,IBM,None,112.734,2.76482066929,119.646051673,105.821948327,8826060.0,4035289.19154,0,0,0,0,-100,100,21525.0,0.0,9808.0
2008-05-14,181910800.0,128.99,8888300,118.04,IBM,None,113.1496,2.7496219134,120.023654784,106.275545216,8304590.0,3194389.51451,0,0,0,0,-100,100,21525.0,0.0,9721.0
2008-05-15,166927000.0,130.61,7227900,118.91,IBM,None,113.526,2.87061840028,120.702546001,106.349453999,7716030.0,1969998.9685,0,0,0,0,-100,100,21525.0,0.0,9634.0
2008-05-16,204236800.0,130.73,6372100,118.31,IBM,None,113.9808,2.67792662334,120.675616558,107.285983442,7410095.0,1636311.9248,0,0,0,0,-100,100,21525.0,0.0,9694.0
2008-05-19,165664400.0,131.08,6385200,117.08,IBM,None,114.3392,2.45081435445,120.466235886,108.212164114,7381715.0,1649529.4408,0,0,0,0,-100,100,21525.0,0.0,9817.0
2008-05-20,178552100.0,130.02,7017700,115.87,IBM,None,114.6536,2.08135748972,119.856993724,109.450206276,7461725.0,1586859.43558,0,0,0,0,-100,100,21525.0,0.0,9938.0
2008-05-21,252724800.0,127.82,8333900,114.43,IBM,BUY,114.7884,1.94348201261,119.647105032,109.929694968,7498755.0,1598688.39875,0,0,0,1,0,100,10082.0,11443.0,10082.0
2008-05-22,170820400.0,127.84,5031300,115.43,IBM,None,114.8672,1.92724656786,119.68531642,110.04908358,7450485.0,1659832.78209,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-05-23,181376400.0,126.13,4701500,114.96,IBM,None,114.8784,1.92692691437,119.695717286,110.061082714,7369890.0,1754391.44612,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-05-27,168322900.0,127.06,6989200,117.85,IBM,None,115.0072,2.01522438784,120.04526097,109.96913903,7439090.0,1707798.19555,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-05-28,181288100.0,127.65,9875600,119.91,IBM,None,115.2432,2.22783287823,120.812782196,109.673617804,7571570.0,1791134.21111,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-05-29,173927200.0,128.29,7561500,120.06,IBM,None,115.488,2.40765099907,121.507127498,109.468872502,7543230.0,1786339.44264,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-05-30,117362000.0,128.61,8652900,119.8,IBM,None,115.7004,2.54617602167,122.065840054,109.334959946,7564365.0,1797361.65481,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-02,181069900.0,127.28,7599300,117.89,IBM,None,115.8776,2.53789821178,122.222345529,109.532854471,7598500.0,1790883.14644,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-03,271965700.0,126.54,7238200,118.33,IBM,None,116.1236,2.46146446924,122.277261173,109.969938827,7642445.0,1769531.05042,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-04,246637700.0,126.47,6432300,118.06,IBM,None,116.316,2.41503968221,122.353599206,110.278400794,7668540.0,1746340.75604,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-05,237867100.0,129.0,6153300,118.92,IBM,None,116.622,2.22631796172,122.187794904,111.056205096,7405865.0,1537013.78286,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-06,384077400.0,124.89,7866700,115.65,IBM,None,116.69,2.16646216984,122.106155425,111.273844575,7309500.0,1436539.55301,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-09,228263900.0,125.19,5584000,116.5,IBM,None,116.8076,2.06699113044,121.975077826,111.640122174,7313555.0,1431276.38453,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-10,260138500.0,124.57,5384200,116.57,IBM,None,116.9704,1.863881434,121.630103585,112.310696415,7149425.0,1455928.98969,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-11,283890100.0,122.73,7207200,114.08,IBM,None,117.0048,1.79857147018,121.501228675,112.508371325,7025115.0,1327786.5409,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-12,252791800.0,123.2,6748600,114.64,IBM,None,116.994,1.81243160791,121.52507902,112.46292098,6918130.0,1253907.8129,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-13,244726900.0,124.76,6379600,116.77,IBM,None,117.0396,1.79089707503,121.516842688,112.562357312,6875715.0,1257220.98978,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-16,185832500.0,124.83,6280200,117.29,IBM,None,117.138,1.7310136722,121.46553418,112.81046582,6871120.0,1259324.704,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-17,191707700.0,124.23,5277900,115.8,IBM,None,117.1328,1.73498443797,121.470261095,112.795338905,6815755.0,1305313.06085,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-18,265893000.0,123.02,6614700,114.93,IBM,None,117.0432,1.78995279267,121.518081982,112.568318018,6795605.0,1305142.10619,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-19,304204900.0,123.17,7570200,115.72,IBM,None,116.9504,1.79624951867,121.441023797,112.459776203,6757420.0,1268422.27843,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-20,289275700.0,121.18,9624900,113.61,IBM,None,116.7384,1.86671431487,121.405185787,112.071614213,6987100.0,1352520.0592,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-23,165096400.0,121.06,5852300,114.28,IBM,None,116.5772,1.89906889466,121.324872237,111.829527763,7044640.0,1272264.58577,0,0,0,0,0,100,10082.0,0.0,10082.0
2008-06-24,267300600.0,120.82,7552900,114.28,IBM,None,116.4652,1.95006222123,121.340355553,111.590044447,7072825.0,1277206.10169,0,0,0,0,0,100,10082.0,0.0,10082.0
